"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"August","2022","Petroleum coke","1230.47","2024-01-03"
"July","2022","Petroleum coke","1668.61","2024-01-03"
"June","2022","Petroleum coke","1297.11","2024-01-03"
"May","2022","Petroleum coke","1472.02","2024-01-03"
"April","2022","Petroleum coke","1726.36","2024-01-03"
"March","2022","Petroleum coke","1373.17","2024-01-03"
"February","2022","Petroleum coke","1519.94","2024-01-03"
"January","2022","Petroleum coke","1781.87","2024-01-03"
"December","2021","Petroleum coke","1682.81","2024-01-03"
"November","2021","Petroleum coke","926.12","2024-01-03"
"October","2021","Petroleum coke","1201.93","2024-01-03"
"September","2021","Petroleum coke","891.11","2024-01-03"
"August","2021","Petroleum coke","927.65","2024-01-03"
"July","2021","Petroleum coke","1168.09","2024-01-03"
"June","2021","Petroleum coke","1004.44","2024-01-03"
"May","2021","Petroleum coke","981.25","2024-01-03"
"April","2021","Petroleum coke","797.05","2024-01-03"
"March","2021","Petroleum coke","1283.00","2024-01-03"
"February","2021","Petroleum coke","794.00","2024-01-03"
"January","2021","Petroleum coke","1004.00","2024-01-03"
"December","2020","Petroleum coke","1244.00","2024-01-03"
"November","2020","Petroleum coke","1145.00","2024-01-03"
"October","2020","Petroleum coke","1287.00","2024-01-03"
"September","2020","Petroleum coke","1108.00","2024-01-03"
"August","2020","Petroleum coke","1408.00","2024-01-03"
"July","2020","Petroleum coke","1648.00","2024-01-03"
"June","2020","Petroleum coke","1409.00","2024-01-03"
"May","2020","Petroleum coke","2500.00","2024-01-03"
"April","2020","Petroleum coke","775.00","2024-01-03"
"August","2023","SKO","52.00","2024-01-03"
"July","2023","SKO","49.87","2024-01-03"
"June","2023","SKO","51.11","2024-01-03"
"May","2023","SKO","41.52","2024-01-03"
"April","2023","SKO","30.35","2024-01-03"
"March","2023","SKO","30.20","2024-01-03"
"February","2023","SKO","33.27","2024-01-03"
"January","2023","SKO","33.31","2024-01-03"
"December","2022","SKO","39.73","2024-01-03"
"November","2022","SKO","38.47","2024-01-03"
"October","2022","SKO","33.56","2024-01-03"
"September","2022","SKO","40.97","2024-01-03"
"August","2022","SKO","31.55","2024-01-03"
"July","2022","SKO","23.24","2024-01-03"
"June","2022","SKO","45.29","2024-01-03"
"May","2022","SKO","67.70","2024-01-03"
"April","2022","SKO","72.28","2024-01-03"
"March","2022","SKO","114.18","2024-01-03"
"February","2022","SKO","117.07","2024-01-03"
"January","2022","SKO","126.17","2024-01-03"
"December","2021","SKO","119.47","2024-01-03"
"November","2021","SKO","123.39","2024-01-03"
"October","2021","SKO","124.51","2024-01-03"
"September","2021","SKO","131.71","2024-01-03"
"August","2021","SKO","128.74","2024-01-03"
"July","2021","SKO","130.26","2024-01-03"
"June","2021","SKO","136.15","2024-01-03"
"May","2021","SKO","136.39","2024-01-03"
"April","2021","SKO","105.33","2024-01-03"
"March","2021","SKO","155.00","2024-01-03"
"February","2021","SKO","137.00","2024-01-03"
"January","2021","SKO","146.00","2024-01-03"
"December","2020","SKO","135.00","2024-01-03"
"November","2020","SKO","155.00","2024-01-03"
"October","2020","SKO","139.00","2024-01-03"
"September","2020","SKO","167.00","2024-01-03"
"August","2020","SKO","132.00","2024-01-03"
"July","2020","SKO","161.00","2024-01-03"
"June","2020","SKO","161.00","2024-01-03"
"May","2020","SKO","181.00","2024-01-03"
"April","2020","SKO","129.00","2024-01-03"
